RK,Name,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR,Year
32,C.J. CronCOL,1B,142,470,70,132,0.281,31,1,28,92,249,60,117,1,0.375,0.53,0.905,3.4,2021
33,Carlos CorreaHOU,SS,148,555,104,155,0.279,34,1,26,92,269,75,116,0,0.366,0.485,0.85,7.2,2021
34,Josh HarrisonOAK/WSH,2B,138,505,58,141,0.279,33,2,8,60,202,31,75,9,0.341,0.4,0.741,2.0,2021
35,Rafael DeversBOS,3B,156,591,101,165,0.279,37,1,38,113,318,62,143,5,0.352,0.538,0.89,3.5,2021
36,Manny MachadoSD,3B,153,564,92,157,0.278,31,2,28,106,276,63,102,12,0.347,0.489,0.836,5.1,2021
37,Jonathan SchoopDET,2B,156,623,85,173,0.278,30,1,22,84,271,37,133,2,0.32,0.435,0.755,2.1,2021
38,Justin TurnerLAD,3B,151,533,87,148,0.278,22,0,27,87,251,61,98,3,0.361,0.471,0.832,3.7,2021
39,Yordan AlvarezHOU,DH,144,537,92,149,0.277,35,1,33,104,285,50,145,1,0.346,0.531,0.877,3.2,2021
40,Jose AltuveHOU,2B,146,602,117,167,0.277,32,1,31,83,294,66,91,5,0.35,0.488,0.838,4.4,2021
41,Jared WalshLAA,1B,144,530,70,147,0.277,34,1,29,98,270,48,152,2,0.34,0.509,0.85,2.9,2021
42,Whit MerrifieldKC,CF,162,664,97,184,0.277,42,3,10,74,262,40,103,40,0.317,0.395,0.711,3.5,2021
43,Lourdes Gurriel Jr.TOR,LF,141,500,62,138,0.276,28,2,21,84,233,32,102,1,0.319,0.466,0.785,2.8,2021
44,Andrew BenintendiKC,LF,134,493,63,136,0.276,27,2,17,73,218,36,97,8,0.324,0.442,0.766,2.4,2021
45,Randy ArozarenaTB,LF,142,529,94,145,0.274,32,3,20,69,243,56,170,20,0.356,0.459,0.815,4.2,2021
46,Raimel TapiaCOL,LF,133,487,69,133,0.273,26,2,6,50,181,40,70,20,0.327,0.372,0.699,1.0,2021
47,J.P. CrawfordSEA,SS,160,619,89,169,0.273,37,0,9,54,233,58,114,3,0.338,0.376,0.715,3.8,2021
48,Salvador PerezKC,C,161,620,88,169,0.273,24,0,48,121,337,28,170,1,0.316,0.544,0.859,5.3,2021
49,Giancarlo StantonNYY,OF,140,510,64,139,0.273,19,0,35,97,263,63,157,0,0.354,0.516,0.87,3.1,2021
50,Myles StrawCLE/HOU,CF,158,564,86,153,0.271,29,1,4,48,196,67,121,30,0.349,0.348,0.696,3.3,2021
1,Jeff McNeilNYM,2B,148,533,73,174,0.326,39,1,9,62,242,40,61,4,0.382,0.454,0.836,5.7,2022
2,Freddie FreemanLAD,1B,159,612,117,199,0.325,47,2,21,100,313,84,102,13,0.407,0.511,0.918,5.9,2022
3,Paul GoldschmidtSTL,1B,151,561,106,178,0.317,41,0,35,115,324,79,141,7,0.404,0.578,0.981,7.8,2022
4,Luis ArraezMIN,1B,144,547,88,173,0.316,31,1,8,49,230,50,43,4,0.375,0.42,0.795,4.4,2022
5,Aaron JudgeNYY,RF,157,570,133,177,0.311,28,0,62,131,391,111,175,16,0.425,0.686,1.111,10.6,2022
6,Xander BogaertsBOS,SS,150,557,84,171,0.307,38,0,15,73,254,57,118,8,0.377,0.456,0.833,5.7,2022
7,Yordan AlvarezHOU,DH,135,470,95,144,0.306,29,2,37,97,288,78,106,1,0.406,0.613,1.019,6.8,2022
8,Jose AbreuCHW,1B,157,601,85,183,0.304,40,0,15,75,268,62,110,0,0.378,0.446,0.824,4.2,2022
9,Andrew BenintendiKC/NYY,LF,126,461,54,140,0.304,23,3,5,51,184,52,77,8,0.373,0.399,0.772,3.2,2022
10,Nathaniel LoweTEX,1B,157,593,74,179,0.302,26,3,27,76,292,48,147,2,0.358,0.492,0.851,3.3,2022
11,Jose AltuveHOU,2B,141,527,103,158,0.3,39,0,28,57,281,66,87,18,0.387,0.533,0.921,5.1,2022
12,Steven KwanCLE,LF,147,563,89,168,0.298,25,7,6,52,225,62,60,19,0.373,0.4,0.772,5.5,2022
13,Manny MachadoSD,3B,150,578,100,172,0.298,37,1,32,102,307,63,133,9,0.366,0.531,0.898,6.8,2022
14,Trea TurnerLAD,SS,160,652,101,194,0.298,39,4,21,100,304,45,131,27,0.343,0.466,0.809,4.9,2022
15,Andres GimenezCLE,2B,146,491,66,146,0.297,26,3,17,69,229,34,112,20,0.371,0.466,0.837,7.2,2022
16,Yandy DiazTB,3B,137,473,71,140,0.296,33,0,9,57,200,78,60,3,0.401,0.423,0.824,3.5,2022
17,Rafael DeversBOS,3B,141,555,84,164,0.295,42,1,27,88,289,50,114,3,0.358,0.521,0.879,4.4,2022
18,Nolan ArenadoSTL,3B,148,557,73,163,0.293,42,1,30,103,297,52,72,5,0.358,0.533,0.891,7.9,2022
19,Starling MarteNYM,RF,118,466,76,136,0.292,24,5,16,63,218,26,97,18,0.347,0.468,0.814,3.8,2022
20,Carlos CorreaMIN,SS,136,522,70,152,0.291,24,1,22,64,244,61,121,0,0.366,0.467,0.834,5.4,2022
21,Bo BichetteTOR,SS,159,652,91,189,0.29,43,1,24,93,306,41,155,13,0.333,0.469,0.802,3.6,2022
22,Gio UrshelaMIN,3B,144,501,61,143,0.285,27,3,13,64,215,41,96,1,0.338,0.429,0.767,3.1,2022
23,Alejandro KirkTOR,C,139,470,59,134,0.285,19,0,14,63,195,63,58,0,0.372,0.415,0.786,3.9,2022
24,Julio RodriguezSEA,CF,132,511,84,145,0.284,25,3,28,75,260,40,145,25,0.345,0.509,0.853,6.0,2022
25,Amed RosarioCLE,SS,153,637,86,180,0.283,26,9,11,71,257,25,111,18,0.312,0.403,0.715,4.1,2022
26,Taylor WardLAA,RF,135,495,73,139,0.281,22,2,23,65,234,60,120,5,0.36,0.473,0.833,3.8,2022
27,Nico HoernerCHC,SS,135,481,60,135,0.281,22,5,10,55,197,28,57,20,0.327,0.41,0.736,4.5,2022
28,Alex VerdugoBOS,LF,152,593,75,166,0.28,39,1,11,74,240,42,86,1,0.328,0.405,0.732,1.2,2022
29,Alec BohmPHI,3B,152,586,79,164,0.28,24,3,13,72,233,31,110,2,0.315,0.398,0.713,0.8,2022
30,Jose RamirezCLE,3B,157,601,90,168,0.28,44,5,29,126,309,69,82,20,0.355,0.514,0.869,6.0,2022
31,Justin TurnerLAD,3B,128,468,61,130,0.278,36,0,13,81,205,50,89,3,0.35,0.438,0.788,1.9,2022
32,Dansby SwansonATL,SS,162,640,99,177,0.277,32,1,25,96,286,49,182,18,0.329,0.447,0.776,5.7,2022
33,Ty FranceSEA,1B,140,551,65,152,0.276,27,1,20,84,241,35,94,0,0.34,0.437,0.777,3.0,2022
34,J.T. RealmutoPHI,C,139,504,75,139,0.276,26,5,22,84,241,41,119,21,0.342,0.478,0.82,6.5,2022
35,Vladimir Guerrero Jr.TOR,1B,160,638,90,175,0.274,35,0,32,97,306,58,116,8,0.339,0.48,0.818,4.0,2022
36,Brandon NimmoNYM,CF,151,580,102,159,0.274,30,7,16,64,251,71,116,3,0.367,0.433,0.8,5.0,2022
37,J.D. MartinezBOS,DH,139,533,76,146,0.274,43,1,16,62,239,52,145,0,0.341,0.448,0.79,1.1,2022
38,Austin RileyATL,3B,159,615,90,168,0.273,39,2,38,93,325,57,168,2,0.349,0.528,0.878,6.5,2022
39,Shohei OhtaniLAA,SP,157,586,90,160,0.273,30,6,34,95,304,72,161,11,0.356,0.519,0.875,3.4,2022
40,Pete AlonsoNYM,1B,160,597,95,162,0.271,27,0,40,131,309,67,128,5,0.352,0.518,0.869,4.4,2022
41,Andrew VaughnCHW,RF,134,510,60,138,0.271,28,1,17,76,219,31,96,0,0.321,0.429,0.75,-0.2,2022
42,Ian HappCHC,LF,158,573,72,155,0.271,42,2,17,72,252,58,149,9,0.342,0.44,0.781,4.3,2022
43,Francisco LindorNYM,SS,161,630,98,170,0.27,25,5,26,107,283,59,133,16,0.339,0.449,0.788,5.4,2022
44,Mookie BettsLAD,RF,142,572,117,154,0.269,40,3,35,82,305,55,104,12,0.34,0.533,0.873,6.4,2022
45,Josh RojasARI,3B,125,443,66,119,0.269,25,1,9,56,173,55,98,23,0.349,0.391,0.739,3.2,2022
46,George SpringerTOR,CF,133,513,89,137,0.267,22,4,25,76,242,54,100,14,0.342,0.472,0.814,4.0,2022
47,Teoscar HernandezTOR,RF,131,499,71,133,0.267,35,1,25,77,245,34,152,6,0.316,0.491,0.807,2.7,2022
48,Josh BellSD/WSH,1B,156,552,78,147,0.266,29,3,17,71,233,81,102,0,0.362,0.422,0.784,3.0,2022
49,Mark CanhaNYM,LF,140,462,71,123,0.266,24,0,13,61,186,48,97,3,0.367,0.403,0.77,2.4,2022
50,Brendan RodgersCOL,2B,137,527,72,140,0.266,30,3,13,63,215,46,101,0,0.325,0.408,0.733,4.4,2022
