RK,Name,POS,GP,GS,FIP,TC,PO,A,FP,E,DP,RF,PB,SBA,CS,CS%,DWAR,Year
1,Christian VazquezBOS,C,11,7,76,81,77,4,1.0,0,0,9.6,0,3,1,0.25,0.0,2021
1,Mike ZuninoTB,C,4,4,39,30,28,2,1.0,0,0,6.9,2,1,0,0.0,0.0,2021
1,Omar NarvaezMIL,C,3,3,19,19,17,2,1.0,0,1,9.0,1,0,0,0.0,0.0,2021
1,Will SmithLAD,C,12,12,105,130,128,2,1.0,0,0,11.1,0,8,1,0.111,0.0,2021
9,Martin MaldonadoHOU,C,16,16,129,149,145,3,0.993,1,1,10.3,1,3,2,0.4,0.0,2021
10,Travis d'ArnaudATL,C,16,16,140,161,153,6,0.988,2,0,10.2,0,18,0,0.0,0.0,2021
1,Travis d'ArnaudATL,C,4,4,34,36,35,1,1.0,0,0,9.5,0,1,0,0.0,0.0,2022
1,Martin MaldonadoHOU,C,11,11,93,124,121,3,1.0,0,0,12.0,1,1,0,0.0,0.0,2022
1,Christian BethancourtTB,C,2,2,15,14,12,2,1.0,0,0,8.4,0,1,0,0.0,0.0,2022
1,J.T. RealmutoPHI,C,17,17,150,170,164,6,1.0,0,1,10.2,0,4,2,0.333,0.0,2022
1,Austin NolaSD,C,12,12,103,114,111,3,1.0,0,0,10.0,0,7,1,0.125,0.0,2022
1,Luke MaileCLE,C,5,0,13,17,16,1,1.0,0,0,11.8,0,0,0,0.0,0.0,2022
1,Jose TrevinoNYY,C,7,7,59,53,52,1,1.0,0,0,8.1,0,3,0,0.0,0.0,2022
1,Tomas NidoNYM,C,3,3,25,29,27,2,1.0,0,0,10.4,0,1,2,0.667,0.0,2022
1,Will SmithLAD,C,4,3,28,38,38,0,1.0,0,0,12.2,0,2,0,0.0,0.0,2022
1,Cal RaleighSEA,C,5,5,53,54,54,0,1.0,0,0,9.2,1,4,0,0.0,0.0,2022
