rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
135,SMTOWN,31400.0,26372229.062,4071,Music,2006
136,Luis Fonsi,31200.0,14838396.793,141,Entertainment,2014
137,MrBeast Gaming,31000.0,5458787.245,138,Gaming,2020
138,Jingle Toons,31000.0,10412125.296,234,Film & Animation,2013
139,Ricis Official,30900.0,5663764.829,2356,People & Blogs,2016
140,The Weeknd,30900.0,21303430.262,129,Music,2011
141,The Tonight Show Starring Jimmy Fallon,30600.0,16724545.241,8537,Comedy,2006
142,Trap Nation,30500.0,13794654.403,2612,Music,2012
143,Worldwide Records Bhojpuri,30500.0,15635250.582,6235,Music,2012
144,Wow Kidz,30100.0,16014357.683,3833,Film & Animation,2015
145,Peppa Pig - Official Channel,30100.0,22027208.339,2604,Film & Animation,2013
146,AH,30100.0,4169637.223,1999,Entertainment,2014
147,MR. INDIAN HACKER,30000.0,5216487.379,878,Science & Technology,2012
148,Boram Tube Vlog [보람튜브 브이로그],29900.0,13349970.806,223,Entertainment,2012
149,ImagineDragons,29900.0,15694037.384,87,Music,2009
150,Spinnin' Records,29900.0,20710700.379,11082,Music,2007
151,DONA 도나,29900.0,19659423.279,163,Entertainment,2018
152,Shawn Mendes,29800.0,12326054.678,132,Music,2011
153,GMANetwork,29800.0,28024812.992,127009,Entertainment,2006
154,Adele,29500.0,13441092.106,15,Music,2008
155,Little Angel: Nursery Rhymes & Kids Songs,29500.0,21530666.206,1221,Education,2015
156,قناة طيور الجنة | toyoraljanahtv,29400.0,26849415.041,3181,Entertainment,2008
157,Talking Tom,29300.0,14613137.265,474,Comedy,2010
159,Ultra Records,29200.0,16746135.886,4755,Music,2006
160,AuronPlay,29200.0,4028976.535,404,Comedy,2006
161,KAROL G,29100.0,15808850.15,124,Music,2013
162,Round2hell,29100.0,2972293.44,66,Comedy,2016
163,ashish chanchlani vines,29000.0,4221836.419,147,Comedy,2009
164,jacksepticeye,29000.0,15881302.152,5050,Gaming,2007
165,व्लाद और निकिता,29000.0,17217399.023,482,,2018
166,Maluma,29000.0,20475354.393,21,Music,2018
167,Zee News,28900.0,14758859.519,161573,News & Politics,2007
168,Lucas and Marcus,28800.0,9742387.092,1093,Entertainment,2011
169,TheDonato,28600.0,5648490.597,2776,Entertainment,2015
170,The Late Late Show with James Corden,28000.0,10147026.049,5737,Entertainment,2006
171,AboFlah,27800.0,3993307.018,595,Gaming,2016
172,infobells - Tamil,27700.0,17079813.72,500,Education,2014
173,Drake,27600.0,14230569.544,59,Music,2009
174,Aditya Music,27500.0,24389678.945,20860,Music,2008
175,Bounce Patrol - Kids Songs,27400.0,20135769.93,232,Music,2013
176,Michael Jackson,27200.0,13562605.732,15,Music,2005
177,Wiz Khalifa,27000.0,13000610.279,624,Music,2008
178,Sandeep Maheshwari,26900.0,2183161.276,563,People & Blogs,2012
179,infobells - Telugu,26900.0,13957449.696,454,Education,2014
180,A.O.D,26900.0,15737640.631,2474,Entertainment,2014
181,Aditya Movies,26600.0,9028475.145,4800,Movies,2012
182,enchufetv,26600.0,10240535.004,1060,Comedy,2011
183,toycantando,26600.0,14756203.254,533,Music,2009
184,Goldmines Dishoom,26500.0,7949713.848,3405,Film & Animation,2016
185,JYP Entertainment,26400.0,18659650.464,1599,Music,2008
186,Nick Jr.,26400.0,21585594.734,5101,Film & Animation,2012
187,Renato Garcia YT,26300.0,7447753.541,3653,Entertainment,2011
188,DanTDM,26300.0,18989856.352,3639,Gaming,2012
189,WORLDSTARHIPHOP,26200.0,19943942.902,6720,Music,2008
190,Masha y el Oso,26100.0,12223265.852,947,Film & Animation,2016
191,Jess No Limit,26000.0,3216665.138,2002,Entertainment,2017
192,Shemaroo Movies,26000.0,6810090.687,2698,Entertainment,2011
193,BB Ki Vines,25900.0,4584927.208,189,Entertainment,2015
194,1MILLION Dance Studio,25900.0,7660673.268,4919,Entertainment,2015
195,Enaldinho,25900.0,9851323.782,3310,Comedy,2012
196,StarPlus,25900.0,18885537.749,27394,Entertainment,2006
197,VanossGaming,25800.0,15258249.603,1676,Gaming,2011
198,Netflix,25800.0,6557700.24,6178,Entertainment,2012
199,TaylorSwiftVEVO,25700.0,24447736.221,262,Music,2009
200,Crazy XYZ,25700.0,6999687.21,1189,Entertainment,2017
201,Marília Mendonça,25600.0,17710709.999,120,Music,2013
202,LosPolinesios,25600.0,7298975.11,941,People & Blogs,2012
203,Raffy Tulfo in Action,25600.0,14177593.855,9423,News & Politics,2016
204,Beyoncé,25500.0,16621788.952,234,Music,2005
205,RihannaVEVO,25200.0,18777560.996,118,Music,2009
206,Nicki Minaj,25200.0,9853304.862,39,Music,2013
207,Brent Rivera,25100.0,5779090.068,519,Comedy,2009
208,HUM TV,25100.0,20475651.528,87559,Entertainment,2011
209,Las Ratitas,25000.0,9437902.956,221,People & Blogs,2015
210,ZHC,25000.0,2455402.222,305,Film & Animation,2013
211,WatchMojo.com,25000.0,16069817.148,23673,Music,2007
212,David Guetta,25000.0,16891079.188,704,Music,2009
213,Smosh,25000.0,10283897.384,1472,Comedy,2005
214,Post Malone,24900.0,13488267.023,64,Music,2011
215,Yuya,24900.0,2586491.218,672,Howto & Style,2009
216,EminemVEVO,24800.0,19709089.152,104,Music,2009
217,Rans Entertainment,24800.0,6114286.995,3401,People & Blogs,2015
218,D Billions,24800.0,28456263.064,606,,2019
219,KatyPerryVEVO,24700.0,23251284.951,173,Music,2009
220,Chris Brown,24600.0,14721243.605,23,Music,2006
221,★ Kids Roma Show,24600.0,8799602.494,615,People & Blogs,2015
222,Goldmines Bollywood,24600.0,7966613.821,3142,Film & Animation,2015
223,Coldplay,24500.0,16252308.186,370,Music,2010
224,Chloe Ting,24400.0,2869360.615,388,Howto & Style,2011
225,1theK (원더케이),24400.0,23332107.698,17774,Music,2011
226,TRANS7 OFFICIAL,24400.0,13430280.09,84013,Entertainment,2014
227,Super JoJo - Nursery Rhymes & Kids Songs,24300.0,2349.824,5,,2019
228,Amit Bhadana,24300.0,2323837.403,98,Entertainment,2012
229,Collins Key,24000.0,6522084.134,254,Entertainment,2011
230,ABPLIVE,24000.0,7250956.022,163488,People & Blogs,2017
231,KSI,24000.0,5965378.845,1250,Entertainment,2009
232,The Lallantop,23900.0,9150685.668,44856,News & Politics,2015
233,DJ Snake,23900.0,8078120.345,227,Music,2008
234,WB Kids,23800.0,10263359.681,1885,People & Blogs,2015
235,James Charles,23800.0,3823484.343,450,Entertainment,2015
236,Ninja,23700.0,2492179.247,1546,Gaming,2011
237,Anuel AA,23700.0,13180226.358,135,Music,2016
238,netd müzik,23600.0,53652464.556,22095,Music,2014
239,Frost Diamond,23600.0,5980132.942,2442,Gaming,2014
240,Logan Paul,23600.0,5945268.302,715,Entertainment,2015
241,MrBeast en Español,23500.0,2988268.27,87,Entertainment,2021
242,Mister Max,23500.0,15223293.304,1074,People & Blogs,2014
243,Like Nastya AE,23500.0,11903502.26,640,Entertainment,2018
244,Enrique Iglesias,23400.0,17061679.708,434,Music,2007
245,NickyJamTV,23400.0,15476639.487,361,Music,2012
246,Troom Troom,23400.0,10028315.766,2147,Howto & Style,2015
247,YOLO AVENTURAS,23400.0,6401253.345,1250,People & Blogs,2018
248,Mark Rober,23300.0,3227785.801,108,Science & Technology,2011
249,Jelly,23300.0,14512114.234,5882,Gaming,2014
250,Happy Lives,23300.0,10065012.071,507,Science & Technology,2016
251,Miss Katy,23200.0,14307994.302,1019,People & Blogs,2014
252,Zhong,23200.0,13961881.559,1298,Entertainment,2015
253,Indosiar,23200.0,11901147.446,65036,Music,2013
254,Diana and Roma ARA,23200.0,10573400.43,548,,2019
255,Erlania e Valentina Pontes,23200.0,7758760.318,1236,Film & Animation,2014
256,America's Got Talent,23200.0,4706643.848,2988,Entertainment,2006
257,Sesame Street,23100.0,21772818.22,3552,Entertainment,2006
258,Goldmines Movies,23000.0,5219085.122,4461,Film & Animation,2013
259,Venus Movies,23000.0,6681541.505,2506,Entertainment,2010
260,Pen Movies,23000.0,6168557.68,1648,Film & Animation,2014
261,LankyBox,22900.0,30683597.498,7140,Comedy,2016
262,Technical Guruji,22800.0,3254093.182,4834,Science & Technology,2015
263,Peppa Pig Español Latino - Canal Oficial,22800.0,7548531.373,1130,Film & Animation,2014
264,FaZe Rug,22800.0,6816912.462,2085,Gaming,2012
265,DrossRotzank,22800.0,5888316.966,1553,Entertainment,2006
266,GMM GRAMMY OFFICIAL,22700.0,24916230.806,14585,Music,2010
267,Lady Gaga,22700.0,14861337.199,172,People & Blogs,2008
268,Preston,22700.0,7555940.231,3935,Gaming,2012
269,TED,22500.0,2466872.545,4199,People & Blogs,2006
270,Juan De Dios Pantoja,22500.0,1867413.928,199,Entertainment,2014
271,The Chainsmokers,22500.0,13790336.885,165,Music,2012
272,White Hill Music,22500.0,10362863.342,5330,Entertainment,2014
273,Diana and Roma EN,22400.0,6269211.883,468,People & Blogs,2011
274,Smile Family,22400.0,8523349.342,456,People & Blogs,2018
275,Wave Music Bhojpuri,22400.0,12568332.046,22033,Music,2014
276,mmoshaya,22300.0,17025528.173,1167,People & Blogs,2010
277,Sia,22300.0,12854466.362,169,Music,2007
278,Paulo Londra,22200.0,7626577.258,58,Music,2016
279,BabyBus - Canciones Infantiles & Videos para Niños,22100.0,12599300.127,1099,Education,2018
280,Like Nastya PRT,22000.0,11054786.532,594,Entertainment,2019
281,Maya and Mary,21900.0,6504880.936,547,Entertainment,2013
282,OneDirectionVEVO,21900.0,11858894.375,266,Music,2010
283,Dushyant kukreja,21800.0,14316852.757,745,Entertainment,2015
284,SSundee,21800.0,12942820.659,3204,Gaming,2009
285,Charlie Puth,21700.0,9331645.572,146,Music,2009
286,Ultra Movie Parlour,21700.0,5215902.869,1486,Movies,2011
287,NichLmao,21600.0,11571064.8,735,People & Blogs,2018
288,FGTeeV,21600.0,23374892.755,1669,Gaming,2013
289,Goldmines Cineplex,21500.0,2127341.56,2963,Film & Animation,2015
290,Beast Reacts,21500.0,3270671.759,231,People & Blogs,2016
291,Vlad and Niki Arabic,21400.0,10030737.233,475,,2018
292,Dua Lipa,21400.0,10650395.013,164,Music,2011
293,Kids TV - Nursery Rhymes And Baby Songs,21300.0,12554878.768,3616,Shows,2013
