x,relu,sigmoid,mish,softplus
-4.8999996,0.0,0.007391544,-0.036352415,0.0074189967
-4.7999997,0.0,0.008162573,-0.039340254,0.00819607
-4.7,0.0,0.009013301,-0.04255341,0.009054165
-4.6,0.0,0.009951803,-0.04600607,0.010001653
-4.5,0.0,0.010986943,-0.04971283,0.011047745
-4.4,0.0,0.012128434,-0.053688705,0.012202583
-4.3,0.0,0.013386915,-0.057949007,0.013477328
-4.2000003,0.0,0.014774028,-0.06250924,0.01488425
-4.1,0.0,0.0163025,-0.06738501,0.016436849
-4.0,0.0,0.01798621,-0.072591744,0.01814993
-3.9,0.0,0.019840304,-0.078144625,0.020039765
-3.8000002,0.0,0.021881266,-0.08405829,0.022124212
-3.7,0.0,0.02412702,-0.09034657,0.024422845
-3.6,0.0,0.026596995,-0.097022034,0.026957095
-3.5,0.0,0.02931223,-0.10409575,0.029750418
-3.3999999,0.0,0.03229547,-0.11157673,0.032828473
-3.3,0.0,0.03557119,-0.11947131,0.036219258
-3.1999998,0.0,0.039165728,-0.12778269,0.03995334
-3.1,0.0,0.04310726,-0.13650997,0.04406397
-3.0,0.0,0.047425874,-0.14564745,0.04858735
-2.8999999,0.0,0.05215357,-0.15518369,0.053562783
-2.8,0.0,0.057324175,-0.16510019,0.05903283
-2.7,0.0,0.06297336,-0.17537038,0.06504356
-2.6,0.0,0.06913843,-0.18595816,0.0716447
-2.5,0.0,0.075858176,-0.1968162,0.078889735
-2.3999999,0.0,0.0831727,-0.2078845,0.08683616
-2.3,0.0,0.09112296,-0.2190883,0.09554547
-2.2,0.0,0.09975048,-0.23033608,0.10508331
-2.1,0.0,0.10909683,-0.24151763,0.11551953
-2.0,0.0,0.11920292,-0.2525015,0.12692802
-1.9,0.0,0.13010848,-0.26313293,0.13938676
-1.8,0.0,0.14185107,-0.2732316,0.15297762
-1.7,0.0,0.15446526,-0.28258938,0.16778602
-1.6,0.0,0.16798161,-0.29096842,0.18390074
-1.5,0.0,0.18242553,-0.29809976,0.20141329
-1.4,0.0,0.1978161,-0.3036822,0.22041743
-1.3,0.0,0.21416503,-0.30738246,0.24100846
-1.2,0.0,0.23147522,-0.30883577,0.26328245
-1.1,0.0,0.24973989,-0.30764848,0.28733534
-1.0,0.0,0.26894143,-0.30340147,0.3132617
-0.90000004,0.0,0.2890505,-0.2956564,0.34115386
-0.8000001,0.0,0.3100255,-0.28396326,0.37110063
-0.70000005,0.0,0.33181223,-0.26787025,0.40318602
-0.6,0.0,0.3543437,-0.24693602,0.43748793
-0.50000006,0.0,0.37754068,-0.22074379,0.47407696
-0.4,0.0,0.40131235,-0.18891649,0.5130153
-0.3,0.0,0.4255575,-0.15113318,0.55435526
-0.2,0.0,0.45016602,-0.10714479,0.59813887
-0.10000001,0.0,0.4750208,-0.056788582,0.64439666
-5.9604646e-09,0.0,0.5,-3.5762788e-09,0.6931472
0.099999994,0.099999994,0.5249792,0.06317942,0.7443967
0.19999999,0.19999999,0.54983395,0.13259898,0.79813886
0.29999998,0.29999998,0.5744425,0.20800136,0.8543552
0.4,0.4,0.59868765,0.28903052,0.91301525
0.5,0.5,0.62245935,0.3752452,0.974077
0.6,0.6,0.6456563,0.46613652,1.037488
0.7,0.7,0.66818774,0.56114835,1.103186
0.8,0.8,0.6899745,0.65969974,1.1711006
0.9,0.9,0.7109495,0.7612059,1.2411538
1.0,1.0,0.7310586,0.86509836,1.3132616
1.1,1.1,0.7502601,0.9708416,1.3873353
1.2,1.2,0.7685248,1.077946,1.4632825
1.3000001,1.3000001,0.785835,1.1859766,1.5410085
1.4000001,1.4000001,0.8021839,1.2945588,1.6204175
1.5,1.5,0.81757444,1.4033782,1.7014133
1.6,1.6,0.8320184,1.512181,1.7839007
1.7,1.7,0.8455348,1.6207681,1.867786
1.8000001,1.8000001,0.8581489,1.7289907,1.9529777
