RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD,Year
36,Tee HigginsCIN,WR,1,4,6,37,9.3,0,12,0,37.0,0,0,15,2,2022
38,Rachaad WhiteTB,RB,1,4,6,36,9.0,0,11,0,36.0,0,0,37,2,2022
39,Cole BeasleyBUF,WR,1,2,5,35,17.5,1,29,1,35.0,0,0,28,2,2022
40,Jake FergusonDAL,TE,1,1,1,34,34.0,0,34,1,34.0,0,0,32,1,2022
41,Richie JamesNYG,WR,1,4,6,31,7.8,0,13,0,31.0,0,0,20,1,2022
41,Joshua PalmerLAC,WR,1,2,6,31,15.5,0,18,0,31.0,0,0,9,2,2022
43,Marvin Jones Jr.JAX,WR,1,3,6,29,9.7,1,12,0,29.0,0,0,10,3,2022
44,Tyler BoydCIN,WR,1,3,3,26,8.7,0,11,0,26.0,0,0,8,2,2022
44,Josh OliverBAL,TE,1,2,2,26,13.0,0,19,0,26.0,0,0,16,2,2022
46,Elijah MitchellSF,RB,1,2,3,25,12.5,1,18,0,25.0,0,0,22,2,2022
47,T.Y. HiltonDAL,WR,1,2,4,23,11.5,0,14,0,23.0,0,0,12,1,2022
47,Donald Parham Jr.LAC,TE,1,4,5,23,5.8,0,12,0,23.0,0,0,2,1,2022
49,Durham SmytheMIA,TE,1,1,1,20,20.0,0,20,1,20.0,0,0,8,1,2022
49,K.J. OsbornMIN,WR,1,2,3,20,10.0,1,11,0,20.0,0,0,4,1,2022
