RK,Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%,Year
5,Mikko RantanenCOL,RW,52,30,36,66,30,34,19:55,9,15,177,16.9,1178,7,32,32,50.0,0,0,0.0,2021
5,Auston MatthewsTOR,C,52,41,25,66,21,10,21:33,10,3,222,18.5,1217,12,450,417,51.9,1,0,0.0,2021
5,Patrick KaneCHI,RW,56,15,51,66,-7,14,22:13,3,19,191,7.9,1246,3,2,5,28.6,4,0,0.0,2021
8,Nathan MacKinnonCOL,C,48,20,45,65,22,37,20:21,8,17,206,9.7,1092,2,239,254,48.5,1,0,0.0,2021
9,Mark ScheifeleWPG,C,56,21,42,63,-4,12,20:57,4,13,126,16.7,1233,4,352,355,49.8,2,0,0.0,2021
10,Sidney CrosbyPIT,C,55,24,38,62,8,26,20:23,5,17,159,15.1,1392,5,676,586,53.6,2,1,50.0,2021
11,Mark StoneVGK,RW,55,21,40,61,26,28,19:03,6,11,98,21.4,1222,8,12,18,40.0,0,0,0.0,2021
11,Jonathan HuberdeauFLA,C,55,20,41,61,12,36,18:24,5,19,122,16.4,1166,1,17,22,43.6,3,1,33.3,2021
13,David PerronSTL,LW,56,19,39,58,6,22,18:32,6,15,151,12.6,1214,2,0,6,0.0,5,2,40.0,2021
13,Aleksander BarkovFLA,C,50,26,32,58,12,14,20:56,7,12,176,14.8,1208,6,563,463,54.9,2,1,50.0,2021
13,Artemi PanarinNYR,LW,42,17,41,58,14,6,19:38,5,13,106,16.0,890,1,0,3,0.0,2,1,50.0,2021
16,Jake GuentzelPIT,LW,56,23,34,57,7,28,20:16,6,12,141,16.3,1403,7,3,9,25.0,2,1,50.0,2021
16,Sebastian AhoCAR,C,56,24,33,57,16,32,19:28,7,11,148,16.2,1303,7,365,327,52.7,1,0,0.0,2021
18,Alex DeBrincatCHI,RW,52,32,24,56,3,12,20:32,9,9,155,20.6,1116,7,16,24,40.0,3,1,33.3,2021
19,Ryan O'ReillySTL,C,56,24,30,54,26,18,20:44,4,8,129,18.6,1392,4,704,492,58.9,4,0,0.0,2021
20,Nicklas BackstromWSH,C,55,15,38,53,0,14,18:35,5,17,91,16.5,1221,0,353,378,48.3,3,1,33.3,2021
21,Gabriel LandeskogCOL,LW,54,20,32,52,14,34,19:57,9,6,155,12.9,1203,8,288,221,56.6,0,0,0.0,2021
22,Joe PavelskiDAL,C,56,25,26,51,22,16,19:01,13,8,139,18.0,1395,4,362,334,52.0,8,1,12.5,2021
22,Max PaciorettyVGK,LW,48,24,27,51,20,14,17:56,6,6,174,13.8,1011,6,20,23,46.5,0,0,0.0,2021
22,Kirill KaprizovMIN,LW,55,27,24,51,10,16,18:17,8,5,157,17.2,1052,3,3,21,12.5,1,0,0.0,2021
25,Kyle ConnorWPG,LW,56,26,24,50,-4,12,18:44,10,3,166,15.7,1169,5,6,4,60.0,2,1,50.0,2021
25,Anze KopitarLA,C,56,13,37,50,-7,10,21:10,3,20,118,11.0,1390,4,661,493,57.3,2,1,50.0,2021
25,John TavaresTOR,C,56,19,31,50,12,14,18:11,6,6,163,11.7,1189,2,471,381,55.3,0,0,0.0,2021
25,Mika ZibanejadNYR,C,56,24,26,50,2,18,20:06,10,4,171,14.0,1381,7,479,555,46.3,1,0,0.0,2021
29,Evander KaneSJ,LW,56,22,27,49,-1,42,20:11,3,4,194,11.3,1361,2,23,34,40.4,1,0,0.0,2021
29,Ryan StromeNYR,C,56,14,35,49,6,39,18:16,3,15,128,10.9,1266,1,321,422,43.2,0,0,0.0,2021
29,Johnny GaudreauCGY,LW,56,19,30,49,2,6,18:24,7,12,112,17.0,1225,5,0,1,0.0,2,1,50.0,2021
29,Brock BoeserVAN,RW,56,23,26,49,-3,16,19:19,8,6,141,16.3,1308,1,8,14,36.4,4,1,25.0,2021
33,Pavel BuchnevichNYR,LW,54,20,28,48,12,42,18:43,1,7,120,16.7,1279,2,4,14,22.2,0,0,0.0,2021
33,David PastrnakBOS,RW,48,20,28,48,10,24,18:36,6,8,176,11.4,997,3,2,5,28.6,3,2,66.7,2021
33,Brayden PointTB,C,56,23,25,48,2,11,18:26,6,9,131,17.6,1181,6,257,263,49.4,3,2,66.7,2021
33,Patrice BergeronBOS,C,54,23,25,48,27,16,18:13,7,6,182,12.6,1265,3,714,433,62.2,0,0,0.0,2021
33,Tyson BarrieEDM,D,56,8,40,48,5,10,21:23,4,19,146,5.5,1197,2,0,0,0.0,0,0,0.0,2021
38,Elias LindholmCGY,C,56,19,28,47,10,22,19:53,6,10,130,14.6,1430,4,509,482,51.4,0,0,0.0,2021
38,Adam FoxNYR,D,55,5,42,47,19,14,24:42,2,21,102,4.9,1560,1,0,1,0.0,0,0,0.0,2021
40,Nikolaj EhlersWPG,LW,47,21,25,46,15,15,16:55,6,7,148,14.2,966,5,1,0,100.0,0,0,0.0,2021
40,Blake WheelerWPG,RW,50,15,31,46,-17,50,18:20,4,11,113,13.3,1106,2,3,5,37.5,1,0,0.0,2021
40,Ondrej PalatTB,LW,55,15,31,46,1,26,17:27,7,13,111,13.5,1137,6,0,6,0.0,0,0,0.0,2021
40,J.T. MillerVAN,C,53,15,31,46,-7,43,20:57,3,15,106,14.2,1386,4,279,247,53.0,4,1,25.0,2021
44,Kris LetangPIT,D,55,7,38,45,19,32,24:38,1,14,132,5.3,1487,2,0,1,0.0,1,0,0.0,2021
44,Victor HedmanTB,D,54,9,36,45,5,28,25:02,1,23,136,6.6,1500,2,0,0,0.0,2,0,0.0,2021
44,Mathew BarzalNYI,C,55,17,28,45,15,48,18:44,1,7,134,12.7,1140,1,152,198,43.4,5,1,20.0,2021
44,Jason RobertsonDAL,LW,51,17,28,45,13,16,16:53,1,5,127,13.4,1074,3,5,2,71.4,7,3,42.9,2021
48,Oliver BjorkstrandCBJ,RW,56,18,26,44,-15,23,17:36,2,4,143,12.6,1161,0,3,4,42.9,4,3,75.0,2021
48,Cale MakarCOL,D,44,8,36,44,17,12,24:18,4,18,104,7.7,1192,3,0,0,0.0,0,0,0.0,2021
48,David KrejciBOS,C,51,8,36,44,16,16,17:08,3,13,83,9.6,1011,1,321,271,54.2,0,0,0.0,2021
1,Connor McDavidEDM,C,80,44,79,123,28,45,22:03,10,34,314,14.0,1757,9,562,484,53.7,5,3,60.0,2022
2,Jonathan HuberdeauFLA,C,80,30,85,115,35,54,19:25,5,33,222,13.5,1839,7,18,36,33.3,6,1,16.7,2022
2,Johnny GaudreauCGY,LW,82,40,75,115,64,26,18:34,6,19,262,15.3,1807,9,1,0,100.0,5,3,60.0,2022
4,Leon DraisaitlEDM,C,80,55,55,110,17,40,22:20,24,17,278,19.8,1827,11,887,774,53.4,6,1,16.7,2022
5,Kirill KaprizovMIN,LW,81,47,61,108,27,34,19:06,14,17,289,16.3,1576,5,5,4,55.6,6,2,33.3,2022
6,Auston MatthewsTOR,C,73,60,46,106,20,18,20:36,16,13,348,17.2,1669,10,691,538,56.2,4,2,50.0,2022
6,Steven StamkosTB,C,81,42,64,106,24,36,18:28,16,20,241,17.4,1788,11,545,523,51.0,6,4,66.7,2022
8,Matthew TkachukCGY,LW,82,42,62,104,57,68,17:53,12,17,253,16.6,1787,6,20,23,46.5,4,1,25.0,2022
